iter	Passed	Remaining
402	13992	3367
403	14028	3333
404	14062	3298
405	14096	3263
406	14130	3228
407	14165	3194
408	14198	3159
409	14232	3124
410	14267	3089
411	14302	3054
412	14337	3020
413	14372	2985
414	14407	2950
415	14441	2916
416	14475	2881
417	14509	2846
418	14513	2805
419	14548	2771
420	14582	2736
421	14617	2701
422	14653	2667
423	14690	2633
424	14727	2598
425	14763	2564
426	14799	2530
427	14833	2495
428	14868	2460
429	14903	2426
430	14938	2391
431	14972	2356
432	15007	2322
433	15042	2287
434	15076	2252
435	15110	2218
436	15144	2183
437	15178	2148
438	15212	2113
439	15246	2079
440	15281	2044
441	15316	2009
442	15350	1975
443	15383	1940
444	15418	1905
445	15453	1871
446	15487	1836
447	15522	1801
448	15556	1767
449	15591	1732
450	15626	1697
451	15662	1663
452	15699	1628
453	15736	1594
454	15772	1559
455	15809	1525
456	15842	1490
457	15876	1455
458	15912	1421
459	15946	1386
460	15981	1351
461	16015	1317
462	16050	1282
463	16084	1247
464	16117	1213
465	16152	1178
466	16186	1143
467	16219	1109
468	16254	1074
469	16289	1039
470	16323	1005
471	16357	970
472	16391	935
473	16426	901
474	16461	866
475	16495	831
476	16530	797
477	16564	762
478	16598	727
479	16634	693
480	16670	658
481	16706	623
482	16743	589
483	16780	554
484	16815	520
485	16849	485
486	16883	450
487	16918	416
488	16953	381
489	16986	346
490	17020	311
491	17054	277
492	17088	242
493	17122	207
494	17157	173
495	17191	138
496	17225	103
497	17260	69
498	17294	34
499	17328	0
